Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
THE FLORENCE RESIDENCES,"1,810,000","1,011.82","1,789",18 Oct 2023,93 HOUGANG AVENUE 2 #07-56,Sub Sale,Strata,94,"19,255",-,Apartment,1,99 yrs from 24/12/2018,2023,HDB,538865,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"1,670,000",925.7,"1,804",18 Oct 2023,95 HOUGANG AVENUE 2 #06-66,Sub Sale,Strata,86,"19,419",-,Apartment,1,99 yrs from 24/12/2018,2023,HDB,533754,19,53,North East Region,Hougang
KOVAN REGENCY,"1,758,888",979.52,"1,796",18 Oct 2023,4 KOVAN RISE #12-11,Resale,Strata,91,"19,328",-,Condominium,1,99 yrs from 24/04/2012,2015,HDB,544735,19,54,North East Region,Hougang
CAMBIO SUITES,"1,495,000",947.23,"1,578",18 Oct 2023,28 LIM TUA TOW ROAD #02-07,Resale,Strata,88,"16,989",-,Apartment,1,Freehold,2016,Private,547791,19,54,North East Region,Serangoon
FOREST WOODS,"2,388,000","1,248.62","1,913",18 Oct 2023,17 LORONG LEW LIAN #04-33,Resale,Strata,116,"20,586",-,Condominium,1,99 yrs from 05/02/2016,2020,HDB,533852,19,53,North East Region,Serangoon
BOTANIQUE AT BARTLEY,"880,000",516.67,"1,703",18 Oct 2023,231 UPPER PAYA LEBAR ROAD #14-27,Resale,Strata,48,"18,333",-,Condominium,1,99 yrs from 14/04/2014,2019,HDB,533870,19,53,North East Region,Serangoon
PARC CENTROS,"1,680,000","1,140.98","1,472",18 Oct 2023,80 PUNGGOL CENTRAL #15-02,Resale,Strata,106,"15,849",-,Condominium,1,99 yrs from 19/03/2012,2016,HDB,828762,19,82,North East Region,Punggol
THE MINTON,"1,360,000",979.52,"1,388",18 Oct 2023,6 HOUGANG STREET 11 #11-11,Resale,Strata,91,"14,945",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,538755,19,53,North East Region,Hougang
BARTLEY VUE,"2,497,000","1,356.26","1,841",19 Oct 2023,6 JALAN BUNGA RAMPAI #06-02,New Sale,Strata,126,"19,817",-,Apartment,1,99 yrs from 13/04/2020,Uncompleted,HDB,538310,19,53,Central Region,Toa Payoh
RIO VISTA,"1,350,000","1,237.86","1,091",19 Oct 2023,32 UPPER SERANGOON VIEW #12-42,Resale,Strata,115,"11,739",-,Condominium,1,99 yrs from 02/01/2001,2004,HDB,534209,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"1,550,000",850.36,"1,823",19 Oct 2023,28 SERANGOON NORTH AVENUE 1 #08-59,Sub Sale,Strata,79,"19,620",-,Apartment,1,99 yrs from 18/05/2018,2023,Private,554341,19,55,North East Region,Serangoon
THE MINTON,"948,000",775.01,"1,223",19 Oct 2023,10D HOUGANG STREET 11 #01-48,Resale,Strata,72,"13,167",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,534076,19,53,North East Region,Hougang
THE QUARTZ,"1,520,000","1,140.98","1,332",20 Oct 2023,61 COMPASSVALE BOW #07-24,Resale,Strata,106,"14,340",-,Condominium,1,99 yrs from 18/04/2005,2009,Private,544989,19,54,North East Region,Sengkang
RIVERFRONT RESIDENCES,"835,000",581.26,"1,437",20 Oct 2023,45 HOUGANG AVENUE 7 #17-24,Sub Sale,Strata,54,"15,463",-,Apartment,1,99 yrs from 31/05/2018,2023,HDB,533815,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"1,583,888",914.94,"1,731",20 Oct 2023,53 HOUGANG AVENUE 7 #06-63,Sub Sale,Strata,85,"18,634",-,Apartment,1,99 yrs from 31/05/2018,2023,HDB,533819,19,53,North East Region,Hougang
RIVERSAILS,"1,688,000","1,184.04","1,426",20 Oct 2023,10 UPPER SERANGOON CRESCENT #08-28,Resale,Strata,110,"15,345",-,Condominium,1,99 yrs from 07/12/2011,2016,HDB,534031,19,53,North East Region,Hougang
JADE RESIDENCES,"935,000",548.96,"1,703",20 Oct 2023,1 LEW LIAN VALE #02-05,Resale,Strata,51,"18,333",-,Apartment,1,Freehold,2017,Private,537016,19,53,North East Region,Serangoon
BOATHOUSE RESIDENCES,"1,310,000","1,001.05","1,309",20 Oct 2023,29 UPPER SERANGOON VIEW #09-17,Resale,Strata,93,"14,086",-,Condominium,1,99 yrs from 09/02/2011,2015,HDB,534044,19,53,North East Region,Hougang
STARS OF KOVAN,"1,325,000",731.95,"1,810",20 Oct 2023,982 UPPER SERANGOON ROAD #04-11,Resale,Strata,68,"19,485",-,Apartment,1,99 yrs from 25/02/2015,2019,HDB,533855,19,53,North East Region,Hougang
REGENTVILLE,"1,250,000","1,076.4","1,161",20 Oct 2023,12 HOUGANG STREET 92 #10-07,Resale,Strata,100,"12,500",-,Apartment,1,99 yrs from 24/04/1996,1999,Private,538688,19,53,North East Region,Hougang
BARTLEY RESIDENCES,"1,980,000","1,184.04","1,672",23 Oct 2023,1A LORONG HOW SUN #06-06,Resale,Strata,110,"18,000",-,Apartment,1,99 yrs from 29/06/2011,2015,Private,536559,19,53,North East Region,Serangoon
LA FIESTA,"1,510,000","1,001.05","1,508",23 Oct 2023,54 SENGKANG SQUARE #08-09,Resale,Strata,93,"16,237",-,Condominium,1,99 yrs from 03/09/2012,2016,HDB,544832,19,54,North East Region,Sengkang
THE FLORENCE RESIDENCES,"1,172,000",667.37,"1,756",23 Oct 2023,85 HOUGANG AVENUE 2 #06-23,Sub Sale,Strata,62,"18,903",-,Apartment,1,99 yrs from 24/12/2018,2023,HDB,538861,19,53,North East Region,Hougang
SUITES @ PAYA LEBAR,"713,000",409.03,"1,743",23 Oct 2023,418 UPPER PAYA LEBAR ROAD #05-08,Resale,Strata,38,"18,763",-,Apartment,1,Freehold,2013,HDB,534996,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"818,000",473.62,"1,727",23 Oct 2023,20 SERANGOON NORTH AVENUE 1 #08-12,Sub Sale,Strata,44,"18,591",-,Apartment,1,99 yrs from 18/05/2018,2023,Private,554337,19,55,North East Region,Serangoon
SENGKANG GRAND RESIDENCES,"1,270,000",624.31,"2,034",23 Oct 2023,72 COMPASSVALE BOW #08-01,Sub Sale,Strata,58,"21,897",-,Apartment,1,99 yrs from 13/11/2018,2023,HDB,544693,19,54,North East Region,Sengkang
THE FLORENCE RESIDENCES,"1,200,000",667.37,"1,798",24 Oct 2023,91 HOUGANG AVENUE 2 #13-49,Sub Sale,Strata,62,"19,355",-,Apartment,1,99 yrs from 24/12/2018,2023,Private,538864,19,53,North East Region,Hougang
A TREASURE TROVE,"1,460,000","1,044.11","1,398",24 Oct 2023,68 PUNGGOL WALK #13-38,Resale,Strata,97,"15,052",-,Condominium,1,99 yrs from 09/03/2011,2015,Private,828784,19,82,North East Region,Punggol
KINGSFORD WATERBAY,"945,000",688.9,"1,372",24 Oct 2023,72 UPPER SERANGOON VIEW #12-40,Resale,Strata,64,"14,766",-,Apartment,1,99 yrs from 03/03/2014,2018,Private,533882,19,53,North East Region,Hougang
SPACE @ KOVAN,"1,065,000",775.01,"1,374",24 Oct 2023,11 YIO CHU KANG ROAD #04-31,Resale,Strata,72,"14,792",-,Apartment,1,Freehold,2015,Private,545679,19,54,North East Region,Serangoon
BARTLEY RESIDENCES,"828,000",462.85,"1,789",24 Oct 2023,5A LORONG HOW SUN #17-34,Resale,Strata,43,"19,256",-,Apartment,1,99 yrs from 29/06/2011,2015,HDB,536563,19,53,North East Region,Serangoon
STARS OF KOVAN,"1,480,000",796.54,"1,858",24 Oct 2023,982 UPPER SERANGOON ROAD #17-13,Resale,Strata,74,"20,000",-,Apartment,1,99 yrs from 25/02/2015,2019,Private,533855,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"1,058,000",613.55,"1,724",24 Oct 2023,53 HOUGANG AVENUE 7 #12-68,Sub Sale,Strata,57,"18,561",-,Apartment,1,99 yrs from 31/05/2018,2023,HDB,533819,19,53,North East Region,Hougang
CHILTERN PARK,"1,818,118","1,270.15","1,431",24 Oct 2023,131 SERANGOON AVENUE 3 #03-07,Resale,Strata,118,"15,408",-,Condominium,1,99 yrs from 01/03/1991,1995,HDB,556112,19,55,North East Region,Serangoon
JADE RESIDENCES,"1,060,000",592.02,"1,790",25 Oct 2023,7 LEW LIAN VALE #03-26,Resale,Strata,55,"19,273",-,Apartment,1,Freehold,2017,Private,537019,19,53,North East Region,Serangoon
THE FLORENCE RESIDENCES,"815,000",484.38,"1,683",25 Oct 2023,83 HOUGANG AVENUE 2 #02-18,Sub Sale,Strata,45,"18,111",-,Apartment,1,99 yrs from 24/12/2018,2023,HDB,538860,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"1,193,000",893.41,"1,335",25 Oct 2023,74 UPPER SERANGOON VIEW #06-52,Resale,Strata,83,"14,373",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533881,19,53,North East Region,Hougang
THE PROMENADE@PELIKAT,"1,150,000",925.7,"1,242",25 Oct 2023,183 JALAN PELIKAT #03-82,Resale,Strata,86,"13,372",-,Apartment,1,Freehold,2015,HDB,537643,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"980,000",613.55,"1,597",25 Oct 2023,51 HOUGANG AVENUE 7 #10-58,Sub Sale,Strata,57,"17,193",-,Apartment,1,99 yrs from 31/05/2018,2023,Private,533818,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"1,680,000",925.7,"1,815",26 Oct 2023,85 HOUGANG AVENUE 2 #08-24,Sub Sale,Strata,86,"19,535",-,Apartment,1,99 yrs from 24/12/2018,2023,Private,538861,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"2,100,000","1,151.75","1,823",26 Oct 2023,22 SERANGOON NORTH AVENUE 1 #03-21,Sub Sale,Strata,107,"19,626",-,Apartment,1,99 yrs from 18/05/2018,2023,HDB,554338,19,55,North East Region,Serangoon
RIVERSAILS,"1,680,000","1,184.04","1,419",26 Oct 2023,10 UPPER SERANGOON CRESCENT #13-28,Resale,Strata,110,"15,273",-,Condominium,1,99 yrs from 07/12/2011,2016,HDB,534031,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"1,488,888",914.94,"1,627",26 Oct 2023,43 HOUGANG AVENUE 7 #08-18,Sub Sale,Strata,85,"17,516",-,Apartment,1,99 yrs from 31/05/2018,2023,HDB,533814,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"830,000",484.38,"1,714",26 Oct 2023,83 HOUGANG AVENUE 2 #05-18,Sub Sale,Strata,45,"18,444",-,Apartment,1,99 yrs from 24/12/2018,2023,Private,538860,19,53,North East Region,Hougang
A TREASURE TROVE,"1,480,000","1,044.11","1,417",27 Oct 2023,58 PUNGGOL WALK #04-17,Resale,Strata,97,"15,258",-,Condominium,1,99 yrs from 09/03/2011,2015,HDB,828779,19,82,North East Region,Punggol
AFFINITY AT SERANGOON,"2,030,000","1,076.4","1,886",27 Oct 2023,28 SERANGOON NORTH AVENUE 1 #05-58,Sub Sale,Strata,100,"20,300",-,Apartment,1,99 yrs from 18/05/2018,2023,Private,554341,19,55,North East Region,Serangoon
BOATHOUSE RESIDENCES,"1,280,000","1,076.4","1,189",27 Oct 2023,33 UPPER SERANGOON VIEW #01-24,Resale,Strata,100,"12,800",-,Condominium,1,99 yrs from 09/02/2011,2015,HDB,534042,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"1,460,000",914.94,"1,596",27 Oct 2023,97 HOUGANG AVENUE 2 #18-74,Sub Sale,Strata,85,"17,176",-,Apartment,1,99 yrs from 24/12/2018,2023,HDB,533753,19,53,North East Region,Hougang
CASA RIVIERA,"1,570,000","1,205.57","1,302",27 Oct 2023,19B LIM TUA TOW ROAD #03-08,Resale,Strata,112,"14,018",-,Apartment,1,Freehold,1997,HDB,547802,19,54,North East Region,Serangoon
KINGSFORD WATERBAY,"1,450,000","1,033.34","1,403",27 Oct 2023,72 UPPER SERANGOON VIEW #09-38,Resale,Strata,96,"15,104",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533882,19,53,North East Region,Hougang
NAUNG RESIDENCE,"1,080,000","1,022.58","1,056",27 Oct 2023,1 JALAN NAUNG #05-03,Resale,Strata,95,"11,368",-,Apartment,1,999 yrs from 19/02/1883,2015,HDB,537670,19,53,North East Region,Hougang
A TREASURE TROVE,"1,739,000","1,270.15","1,369",27 Oct 2023,56 PUNGGOL WALK #01-14,Resale,Strata,118,"14,737",-,Condominium,1,99 yrs from 09/03/2011,2015,HDB,828833,19,82,North East Region,Punggol
RIVERSOUND RESIDENCE,"2,108,000","2,195.86",960,30 Oct 2023,3 SENGKANG EAST AVENUE #17-07,Resale,Strata,204,"10,333",-,Condominium,1,99 yrs from 26/08/2011,2015,HDB,544813,19,54,North East Region,Sengkang
KOVAN REGENCY,"2,880,000","1,743.77","1,652",30 Oct 2023,42 KOVAN RISE #14-25,Resale,Strata,162,"17,778",-,Condominium,1,99 yrs from 24/04/2012,2015,Private,544729,19,54,North East Region,Hougang
CHILTERN PARK,"1,810,000","1,270.15","1,425",30 Oct 2023,131 SERANGOON AVENUE 3 #03-09,Resale,Strata,118,"15,339",-,Condominium,1,99 yrs from 01/03/1991,1995,Private,556112,19,55,North East Region,Serangoon
BARTLEY VUE,"1,987,000","1,044.11","1,903",30 Oct 2023,8 JALAN BUNGA RAMPAI #10-08,New Sale,Strata,97,"20,485",-,Apartment,1,99 yrs from 13/04/2020,Uncompleted,HDB,538311,19,53,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,"1,720,000","1,065.64","1,614",30 Oct 2023,49 HOUGANG AVENUE 7 #01-47,Sub Sale,Strata,99,"17,374",-,Apartment,1,99 yrs from 31/05/2018,2023,Private,533817,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"1,360,000",753.48,"1,805",30 Oct 2023,18 SERANGOON NORTH AVENUE 1 #13-08,Sub Sale,Strata,70,"19,429",-,Apartment,1,99 yrs from 18/05/2018,2023,HDB,554336,19,55,North East Region,Serangoon
SENGKANG GRAND RESIDENCES,"1,555,000",764.24,"2,035",30 Oct 2023,86 COMPASSVALE BOW #05-61,Sub Sale,Strata,71,"21,901",-,Apartment,1,99 yrs from 13/11/2018,2023,HDB,544573,19,54,North East Region,Sengkang
RIVERFRONT RESIDENCES,"1,020,000",613.55,"1,662",30 Oct 2023,43 HOUGANG AVENUE 7 #06-21,Sub Sale,Strata,57,"17,895",-,Apartment,1,99 yrs from 31/05/2018,2023,Private,533814,19,53,North East Region,Hougang
SUNGLADE,"1,818,000","1,517.72","1,198",30 Oct 2023,5 SERANGOON AVENUE 2 #01-11,Resale,Strata,141,"12,894",-,Condominium,1,99 yrs from 09/10/2000,2003,Private,556132,19,55,North East Region,Serangoon
AFFINITY AT SERANGOON,"1,290,000",731.95,"1,762",30 Oct 2023,22 SERANGOON NORTH AVENUE 1 #07-24,Sub Sale,Strata,68,"18,971",-,Apartment,1,99 yrs from 18/05/2018,2023,Private,554338,19,55,North East Region,Serangoon
3@PHILLIPS,"1,400,000","1,022.58","1,369",31 Oct 2023,3 PHILLIPS AVENUE #03-03,Resale,Strata,95,"14,737",-,Apartment,1,999 yrs from 01/01/1886,2007,Private,546920,19,54,North East Region,Hougang
AFFINITY AT SERANGOON,"1,500,000",850.36,"1,764",31 Oct 2023,18 SERANGOON NORTH AVENUE 1 #04-06,Sub Sale,Strata,79,"18,987",-,Apartment,1,99 yrs from 18/05/2018,2023,HDB,554336,19,55,North East Region,Serangoon
MIDTOWN RESIDENCES,"1,020,000",656.6,"1,553",31 Oct 2023,1189 UPPER SERANGOON ROAD #09-11,Resale,Strata,61,"16,721",-,Apartment,1,99 yrs from 24/01/2013,2016,Private,534785,19,53,North East Region,Hougang
RIVER ISLES,"1,160,000",893.41,"1,298",31 Oct 2023,62 EDGEDALE PLAINS #08-24,Resale,Strata,83,"13,976",-,Condominium,1,99 yrs from 06/02/2012,2015,Private,828730,19,82,North East Region,Punggol
KINGSFORD WATERBAY,"970,000",678.13,"1,430",31 Oct 2023,72 UPPER SERANGOON VIEW #03-39,Resale,Strata,63,"15,397",-,Apartment,1,99 yrs from 03/03/2014,2018,Private,533882,19,53,North East Region,Hougang
THE GARDEN RESIDENCES,"1,750,000",968.76,"1,806",31 Oct 2023,9 SERANGOON NORTH VIEW #02-38,Resale,Strata,90,"19,444",-,Apartment,1,99 yrs from 30/10/2017,2021,Private,554347,19,55,North East Region,Serangoon
BARTLEY RESIDENCES,"2,000,000","1,162.51","1,720",31 Oct 2023,7 LORONG HOW SUN #14-40,Resale,Strata,108,"18,519",-,Apartment,1,99 yrs from 29/06/2011,2015,Private,536564,19,53,North East Region,Serangoon
THE GARDEN RESIDENCES,"2,300,000","1,194.8","1,925",31 Oct 2023,5 SERANGOON NORTH VIEW #09-26,Resale,Strata,111,"20,721",-,Apartment,1,99 yrs from 30/10/2017,2021,Private,554345,19,55,North East Region,Serangoon
RIVERSAILS,"1,250,000",947.23,"1,320",31 Oct 2023,20 UPPER SERANGOON CRESCENT #13-48,Resale,Strata,88,"14,205",-,Condominium,1,99 yrs from 07/12/2011,2016,HDB,534026,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"1,800,000",904.18,"1,991",31 Oct 2023,28 SERANGOON NORTH AVENUE 1 #13-54,Sub Sale,Strata,84,"21,429",-,Apartment,1,99 yrs from 18/05/2018,2023,HDB,554341,19,55,North East Region,Serangoon
RIVERFRONT RESIDENCES,"1,980,000","1,108.69","1,786",31 Oct 2023,47 HOUGANG AVENUE 7 #16-38,Sub Sale,Strata,103,"19,223",-,Apartment,1,99 yrs from 31/05/2018,2023,HDB,533816,19,53,North East Region,Hougang
SPAZIO @ KOVAN,"888,000",559.73,"1,586",01 Nov 2023,767 UPPER SERANGOON ROAD #04-07,Resale,Strata,52,"17,077",-,Apartment,1,Freehold,2016,HDB,534635,19,53,North East Region,Hougang
KENSINGTON PARK CONDOMINIUM,"2,700,000","1,668.42","1,618",01 Nov 2023,10 KENSINGTON PARK DRIVE #13-03,Resale,Strata,155,"17,419",-,Condominium,1,999 yrs from 01/04/1878,1990,HDB,557324,19,55,North East Region,Serangoon
MIDTOWN RESIDENCES,"955,000",645.84,"1,479",01 Nov 2023,1189 UPPER SERANGOON ROAD #04-06,Resale,Strata,60,"15,917",-,Apartment,1,99 yrs from 24/01/2013,2016,HDB,534785,19,53,North East Region,Hougang
TRILIVE,"1,610,000",904.18,"1,781",01 Nov 2023,113 TAMPINES ROAD #07-06,Resale,Strata,84,"19,167",-,Condominium,1,Freehold,2018,HDB,533902,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"1,010,000",613.55,"1,646",01 Nov 2023,22 SERANGOON NORTH AVENUE 1 #08-27,Sub Sale,Strata,57,"17,719",-,Apartment,1,99 yrs from 18/05/2018,2023,Private,554338,19,55,North East Region,Serangoon
RIVERFRONT RESIDENCES,"2,680,000","1,485.43","1,804",01 Nov 2023,57 HOUGANG AVENUE 7 #11-82,Sub Sale,Strata,138,"19,420",-,Apartment,1,99 yrs from 31/05/2018,2023,HDB,533821,19,53,North East Region,Hougang
GAMBIR RIDGE,"910,888",592.02,"1,539",02 Nov 2023,16 GAMBIR WALK #04-08,Resale,Strata,55,"16,562",-,Apartment,1,Freehold,2015,Private,538976,19,53,North East Region,Serangoon
RIVERFRONT RESIDENCES,"1,618,000",914.94,"1,768",02 Nov 2023,53 HOUGANG AVENUE 7 #16-66,Sub Sale,Strata,85,"19,035",-,Apartment,1,99 yrs from 31/05/2018,2023,Private,533819,19,53,North East Region,Hougang
CHILTERN PARK,"1,700,000","1,248.62","1,361",02 Nov 2023,133 SERANGOON AVENUE 3 #07-02,Resale,Strata,116,"14,655",-,Condominium,1,99 yrs from 01/03/1991,1995,HDB,556113,19,55,North East Region,Serangoon
THE FLORENCE RESIDENCES,"1,800,000","1,011.82","1,779",02 Nov 2023,97 HOUGANG AVENUE 2 #03-78,Sub Sale,Strata,94,"19,149",-,Apartment,1,99 yrs from 24/12/2018,2023,HDB,533753,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"733,000",484.38,"1,513",03 Nov 2023,72 UPPER SERANGOON VIEW #13-43,Resale,Strata,45,"16,289",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533882,19,53,North East Region,Hougang
THE LUXURIE,"1,145,000",796.54,"1,437",03 Nov 2023,11 COMPASSVALE ROAD #02-02,Resale,Strata,74,"15,473",-,Condominium,1,99 yrs from 15/06/2011,2015,Private,544749,19,54,North East Region,Sengkang
RIVERFRONT RESIDENCES,"2,660,000","1,485.43","1,791",03 Nov 2023,57 HOUGANG AVENUE 7 #08-82,Sub Sale,Strata,138,"19,275",-,Apartment,1,99 yrs from 31/05/2018,2023,Private,533821,19,53,North East Region,Hougang
KENSINGTON PARK CONDOMINIUM,"2,750,000","1,668.42","1,648",03 Nov 2023,12 KENSINGTON PARK DRIVE #17-04,Resale,Strata,155,"17,742",-,Condominium,1,999 yrs from 01/04/1878,1990,Private,557325,19,55,North East Region,Serangoon
THE FLORENCE RESIDENCES,"1,239,998",721.19,"1,719",03 Nov 2023,81 HOUGANG AVENUE 2 #05-03,Sub Sale,Strata,67,"18,507",-,Apartment,1,99 yrs from 24/12/2018,2023,HDB,538859,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"1,400,000",753.48,"1,858",03 Nov 2023,20 SERANGOON NORTH AVENUE 1 #10-18,Sub Sale,Strata,70,"20,000",-,Apartment,1,99 yrs from 18/05/2018,2023,HDB,554337,19,55,North East Region,Serangoon
RIO VISTA,"1,388,000","1,248.62","1,112",03 Nov 2023,12 UPPER SERANGOON VIEW #15-08,Resale,Strata,116,"11,966",-,Condominium,1,99 yrs from 02/01/2001,2004,Private,534199,19,53,North East Region,Hougang
THE GARDEN RESIDENCES,"798,000",452.09,"1,765",03 Nov 2023,1 SERANGOON NORTH VIEW #13-16,Resale,Strata,42,"19,000",-,Apartment,1,99 yrs from 30/10/2017,2021,HDB,554343,19,55,North East Region,Serangoon
THE FLORENCE RESIDENCES,"1,198,888",667.37,"1,796",03 Nov 2023,87 HOUGANG AVENUE 2 #03-31,Sub Sale,Strata,62,"19,337",-,Apartment,1,99 yrs from 24/12/2018,2023,Private,538862,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"992,000",602.78,"1,646",06 Nov 2023,41 HOUGANG AVENUE 7 #09-09,Sub Sale,Strata,56,"17,714",-,Apartment,1,99 yrs from 31/05/2018,2023,HDB,533813,19,53,North East Region,Hougang
KOVAN REGENCY,"1,180,000",688.9,"1,713",06 Nov 2023,2 KOVAN RISE #14-04,Resale,Strata,64,"18,438",-,Condominium,1,99 yrs from 24/04/2012,2015,Private,544734,19,54,North East Region,Hougang
AFFINITY AT SERANGOON,"1,558,000",850.36,"1,832",06 Nov 2023,28 SERANGOON NORTH AVENUE 1 #09-59,Sub Sale,Strata,79,"19,722",-,Apartment,1,99 yrs from 18/05/2018,2023,HDB,554341,19,55,North East Region,Serangoon
THE FLORENCE RESIDENCES,"1,246,000",699.66,"1,781",06 Nov 2023,93 HOUGANG AVENUE 2 #04-58,Sub Sale,Strata,65,"19,169",-,Apartment,1,99 yrs from 24/12/2018,2023,HDB,538865,19,53,North East Region,Hougang
PRESTIGE POINT,"750,000",452.09,"1,659",06 Nov 2023,398 UPPER PAYA LEBAR ROAD #03-01,Resale,Strata,42,"17,857",-,Apartment,1,Freehold,2016,Private,534986,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"1,860,000","1,151.75","1,615",06 Nov 2023,24 SERANGOON NORTH AVENUE 1 #04-37,Sub Sale,Strata,107,"17,383",-,Apartment,1,99 yrs from 18/05/2018,2023,Private,554339,19,55,North East Region,Serangoon
GAMBIR RIDGE,"1,555,000",925.7,"1,680",06 Nov 2023,16 GAMBIR WALK #03-07,Resale,Strata,86,"18,081",-,Apartment,1,Freehold,2015,Private,538976,19,53,North East Region,Serangoon
THE FLORENCE RESIDENCES,"1,200,000",667.37,"1,798",06 Nov 2023,87 HOUGANG AVENUE 2 #04-31,Sub Sale,Strata,62,"19,355",-,Apartment,1,99 yrs from 24/12/2018,2023,Private,538862,19,53,North East Region,Hougang
SUNGLADE,"1,650,000","1,151.75","1,433",07 Nov 2023,9 SERANGOON AVENUE 2 #08-25,Resale,Strata,107,"15,421",-,Condominium,1,99 yrs from 09/10/2000,2003,HDB,556134,19,55,North East Region,Serangoon
THE FLORENCE RESIDENCES,"1,680,000",936.47,"1,794",07 Nov 2023,95 HOUGANG AVENUE 2 #12-65,Sub Sale,Strata,87,"19,310",-,Apartment,1,99 yrs from 24/12/2018,2023,HDB,533754,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"888,000",656.6,"1,352",07 Nov 2023,80 UPPER SERANGOON VIEW #07-71,Resale,Strata,61,"14,557",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533878,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"1,060,000",613.55,"1,728",08 Nov 2023,43 HOUGANG AVENUE 7 #16-21,Sub Sale,Strata,57,"18,596",-,Apartment,1,99 yrs from 31/05/2018,2023,HDB,533814,19,53,North East Region,Hougang
WATERTOWN,"960,000",602.78,"1,593",08 Nov 2023,71 PUNGGOL CENTRAL #08-47,Resale,Strata,56,"17,143",-,Apartment,1,99 yrs from 18/05/2011,2017,Private,828755,19,82,North East Region,Punggol
RIVERFRONT RESIDENCES,"2,050,000","1,108.69","1,849",08 Nov 2023,51 HOUGANG AVENUE 7 #01-60,Sub Sale,Strata,103,"19,903",-,Apartment,1,99 yrs from 31/05/2018,2023,Private,533818,19,53,North East Region,Hougang
THE QUARTZ,"1,495,000","1,065.64","1,403",08 Nov 2023,53 COMPASSVALE BOW #13-05,Resale,Strata,99,"15,101",-,Condominium,1,99 yrs from 18/04/2005,2009,HDB,544985,19,54,North East Region,Sengkang
THE FLORENCE RESIDENCES,"938,000",527.44,"1,778",08 Nov 2023,85 HOUGANG AVENUE 2 #09-26,Sub Sale,Strata,49,"19,143",-,Apartment,1,99 yrs from 24/12/2018,2023,Private,538861,19,53,North East Region,Hougang
BOTANIQUE AT BARTLEY,"2,130,000","1,130.22","1,885",08 Nov 2023,225 UPPER PAYA LEBAR ROAD #06-12,Resale,Strata,105,"20,286",-,Condominium,1,99 yrs from 14/04/2014,2019,Private,533873,19,53,North East Region,Serangoon
CENTRAL VIEW,"1,180,000",979.52,"1,205",09 Nov 2023,50 HOUGANG STREET 11 #13-01,Resale,Strata,91,"12,967",-,Condominium,1,99 yrs from 20/03/1998,2002,HDB,538749,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"1,280,000",688.9,"1,858",09 Nov 2023,70 UPPER SERANGOON VIEW #13-31,Resale,Strata,64,"20,000",-,Apartment,1,99 yrs from 03/03/2014,2018,Private,533883,19,53,North East Region,Hougang
OASIS GARDEN,"1,400,000",947.23,"1,478",09 Nov 2023,51 JALAN BUNGA RAMPAI #13-01,Resale,Strata,88,"15,909",-,Condominium,1,Freehold,2009,HDB,538420,19,53,Central Region,Toa Payoh
KOVAN MELODY,"2,380,000","1,420.85","1,675",09 Nov 2023,33 KOVAN ROAD #03-38,Resale,Strata,132,"18,030",-,Condominium,1,99 yrs from 20/01/2004,2006,Private,545020,19,54,North East Region,Hougang
BARTLEY VUE,"2,484,000","1,356.26","1,832",10 Nov 2023,6 JALAN BUNGA RAMPAI #05-02,New Sale,Strata,126,"19,714",-,Apartment,1,99 yrs from 13/04/2020,Uncompleted,Private,538310,19,53,Central Region,Toa Payoh
